Ticker,Name,level
 SPYV ,SPDR Portfolio S&P 500 Value ETF,2
 XLU ,Utilities Select Sector SPDR Fund,2
 SPDW ,SPDR Portfolio Developed World ex-US ETF,2
 TQQQ ,ProShares UltraPro QQQ,1
 XLP ,Consumer Staples Select Sector SPDR Fund,2
 VFH ,Vanguard Financials ETF,2
 SPYG ,SPDR Portfolio S&P 500 Growth ETF,2
 VOT ,Vanguard Mid-Cap Growth ETF,2
 SPLG ,SPDR Portfolio S&P 500 ETF,2
 VSS ,Vanguard FTSE All-World ex-US Small-Cap ETF,2
 XLB ,Materials Select Sector SPDR Fund,2
 SPLV ,Invesco S&P 500 Low Volatility ETF,2
 USHY ,iShares Broad USD High Yield Corporate Bond ETF,3
 VGIT ,Vanguard Intermediate-Term Treasury Index ETF,3
 SPSB ,SPDR Portfolio Short Term Corporate Bond ETF,3
 XBI ,SPDR S&P Biotech ETF,2
 SPEM ,SPDR Portfolio Emerging Markets ETF,2
 VONG ,Vanguard Russell 1000 Growth ETF,2
 SOXX ,iShares PHLX Semiconductor ETF,2
 USIG ,iShares Broad USD Investment Grade Corporate Bond ETF,3
 VCR ,Vanguard Consumer Discretionary ETF,2
 VDC ,Vanguard Consumer Staples ETF,2
 SKYY ,First Trust Cloud Computing ETF,2
 VCLT ,Vanguard Long-Term Corporate Bond ETF,3
 SPAB ,SPDR Portfolio Aggregate Bond ETF,3
 VOOG ,Vanguard S&P 500 Growth ETF,2
 VIS ,Vanguard Industrials ETF,2
 VPL ,Vanguard FTSE Pacific ETF,2
